LoanId,LoanType,RunDt,LoanStatus,CurrentPrincipalBalanceAmt,InvestorId,DelinquentPaymentCount,InterestPaidToDt,PropertyState,Source,SETTLE_DATE,DAYS360_DAYS,ACCRUED_INTEREST,price_b1 X UPB,(price_b1 X UPB) + Accrued Interest,price_b1,price_b3,price_b7,price_b4,price_b6,price_b5,price_b3 X UPB,price_b7 X UPB,price_b4 X UPB,price_b6 X UPB,price_b5 X UPB,FLAG_B1,FLAG_B2,FLAG_B3,FLAG_B7,FLAG_B4,FLAG_A1,FLAG_A2,FLAG_B5,NEC_B1,NEC_B2,NEC_B3,NEC_B7,NEC_B4,NEC_B6,NEC_B8,NEC_B5,TIMES_ALLOCATED,TOTAL_VA_USDA,MAX_NEC,Pool,POOL_CD_UPB,POOL_AB_UPB,price_b6 x POOL_AB_UPB,DelinquentPaymentCount x UPB,b6_pool1_upb,price_b6 x b6_pool1_upb,b6_pool2_upb,price_b6 x b6_pool2_upb,b6_Pool_Flag,Flag,Original_Variable,B1_ALLOCATION,B2_ALLOCATION,B3_ALLOCATION,B7_ALLOCATION,B4_ALLOCATION,B6_ALLOCATION,B8_ALLOCATION,B5_ALLOCATION
3663,FHA,1/14/2022,60 Days Delinquent,140960.24,419,3,10/1/2021,FL,GNMA,2/1/2022,120,1644.536133,141874.1569,143518.693,1.006483508,0.987984085,0,1.006268761,0,1.005433762,139266.4737,0,141843.886,0,141726.1844,1,1,0,0,1,0,0,1,908.02,908.02,-1699.66,0,877.75,0,0,760.05,3,0,NEC_B1,A,0,140960.24,0,422880.72,0,0,0,0,UNK,1,B2_Selector_3663,0,1,0,0,0,0,0,0
3664,USDA,1/14/2022,Foreclosure,138891.29,406,6,7/1/2021,PA,GNMA,2/1/2022,210,2430.597575,137174.0513,139604.6488,0.987636095,0,0,0.994831026,0,0,0,0,138173.3645,0,0,0,0,0,0,0,0,0,0,-1887.63,0,0,0,-888.31,0,0,0,0,138891.29,NONE,A,0,138891.29,0,833347.74,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3665,USDA,1/14/2022,60 Days Delinquent,77084.67,414,3,10/1/2021,WV,GNMA,2/1/2022,120,899.32115,0,899.32115,0,0.986742732,0,0.985422708,0,0,76062.7379,0,75960.98425,0,0,0,0,0,0,0,0,0,0,0,0,-653.96,0,-755.71,0,0,0,0,77084.67,NONE,A,0,77084.67,0,231254.01,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3666,USDA,1/14/2022,Foreclosure,63525.1,418,30,7/1/2019,SC,GNMA,2/1/2022,930,6564.260333,63886.00831,70450.26864,1.00568135,0,0,1.011681604,0,0,0,0,64267.17506,0,0,0,0,0,0,1,0,0,0,-237.1,0,0,0,144.07,0,0,0,1,63525.1,NEC_B4,D,63525.1,0,0,1905753,0,0,0,0,UNK,1,B4_Selector_3666,0,0,0,0,1,0,0,0
3667,FHA,1/14/2022,60 Days Delinquent,181350.16,406,3,10/1/2021,TX,GNMA,2/1/2022,120,1813.5016,181668.4793,183481.9809,1.001755275,0.982831766,0,1.00053275,0,0,178236.6981,0,181446.7743,0,0,1,1,0,0,1,0,0,0,605.54,605.54,-2826.25,0,383.83,0,0,0,3,0,NEC_B1,A,0,181350.16,0,544050.48,0,0,0,0,UNK,1,B2_Selector_3667,0,1,0,0,0,0,0,0
3668,USDA,1/14/2022,Foreclosure,250665.43,407,5,8/1/2021,MA,GNMA,2/1/2022,180,3759.98145,249247.351,253007.3324,0.994342742,0,0,0.998345233,0,0,0,0,250250.6371,0,0,0,0,0,0,0,0,0,0,-2236.79,0,0,0,-1233.51,0,0,0,0,250665.43,NONE,A,0,250665.43,0,1253327.15,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3669,VA,1/14/2022,120 Days Delinquent,322051.85,406,22,3/1/2020,FL,GNMA,2/1/2022,690,18517.98138,322781.4823,341299.4637,1.002265574,0.995824086,0,0.989977464,0,0,320706.9892,0,318824.0738,0,0,0,0,0,0,0,0,0,0,-709.96,-709.96,-2784.45,0,-4667.37,0,0,0,0,322051.85,NONE,D,322051.85,0,0,7085140.7,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3670,USDA,1/14/2022,Foreclosure,137396.14,407,27,10/1/2019,PA,GNMA,2/1/2022,840,9617.7298,135645.799,145263.5288,0.987260625,0.973811358,0,0.997712273,0,0,133797.9217,0,137081.8151,0,0,0,0,0,0,0,0,0,0,-2145.02,0,-3992.9,0,-709.01,0,0,0,0,137396.14,NONE,D,137396.14,0,0,3709695.78,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3671,FHA,1/14/2022,60 Days Delinquent,140128.56,426,3,10/1/2021,MA,GNMA,2/1/2022,120,1401.2856,139757.2398,141158.5254,0.997350146,0,0,0.997886391,0,0,0,0,139832.383,0,0,1,1,0,0,1,0,0,0,220.38,220.38,0,0,295.52,0,0,0,3,0,NEC_B4,A,0,140128.56,0,420385.68,0,0,0,0,UNK,1,B4_Selector_3671,0,0,0,0,1,0,0,0
3672,USDA,1/14/2022,120 Days Delinquent,221934.48,407,12,1/1/2021,MD,GNMA,2/1/2022,390,7212.8706,220405.0395,227617.9101,0.993108594,0.982284464,0,0.98608158,0,0,218002.7918,0,218845.5028,0,0,0,0,0,0,0,0,0,0,-1082.44,0,-3484.68,0,-2641.97,0,0,0,0,221934.48,NONE,D,221934.48,0,0,2663213.76,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3673,FHA,1/14/2022,120 Days Delinquent,222998.15,406,20,5/1/2020,GA,GNMA,2/1/2022,630,11707.40288,222241.194,233948.5969,0.99660555,0.969240506,0,0.93519772,0,0,216138.8397,0,208547.3614,0,0,0,1,1,0,0,0,0,0,0,7525.65,1423.3,0,-6168.18,0,0,0,2,0,NEC_B2,D,222998.15,0,0,4459963,0,0,0,0,UNK,1,B2_Selector_3673,0,1,0,0,0,0,0,0
3674,USDA,1/14/2022,60 Days Delinquent,155490.44,407,3,10/1/2021,ME,GNMA,2/1/2022,120,1554.9044,153575.3949,155130.2993,0.98768384,0.976017531,0,0.992013737,0,0,151761.3953,0,154248.6524,0,0,0,0,0,0,0,0,0,0,-1510.28,0,-3324.28,0,-837.02,0,0,0,0,155490.44,NONE,A,0,155490.44,0,466471.32,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3675,VA,1/14/2022,120 Days Delinquent,324474.05,406,7,6/1/2021,TX,GNMA,2/1/2022,240,6489.481,324417.1356,330906.6166,0.999824595,0.990452224,0,0.992860804,0,0.991406655,321376.0446,0,322157.566,0,321685.7326,0,0,0,0,0,0,0,0,-868.64,-868.64,-3909.73,0,-3128.21,0,0,-3600.04,0,324474.05,NONE,A,0,324474.05,0,2271318.35,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3676,USDA,1/14/2022,120 Days Delinquent,116199.46,407,6,7/1/2021,GA,GNMA,2/1/2022,210,2033.49055,0,2033.49055,0,0,0,0.996473259,0,0,0,0,115789.6546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-368.85,0,0,0,0,116199.46,NONE,A,0,116199.46,0,697196.76,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3677,USDA,1/14/2022,120 Days Delinquent,195110.57,407,5,8/1/2021,VA,GNMA,2/1/2022,180,2926.65855,194376.5736,197303.2322,0.996238049,0.979088474,0,0.999412276,0,0,191030.5103,0,194995.8989,0,0,0,0,0,0,0,0,0,0,-1100.91,0,-4446.98,0,-481.59,0,0,0,0,195110.57,NONE,A,0,195110.57,0,975552.85,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3678,USDA,1/14/2022,60 Days Delinquent,126673.14,407,3,10/1/2021,WV,GNMA,2/1/2022,120,1477.8533,0,1477.8533,0,0.986374681,0,1.003967251,0,0,124947.178,0,127175.6841,0,0,0,0,0,0,1,0,0,0,0,0,-1232.91,0,995.6,0,0,0,1,126673.14,NEC_B4,A,0,126673.14,0,380019.42,0,0,0,0,UNK,1,B4_Selector_3678,0,0,0,0,1,0,0,0
3679,VA,1/14/2022,60 Days Delinquent,223507.93,422,3,10/1/2021,TX,GNMA,2/1/2022,120,2607.592517,223805.3305,226412.923,1.001330604,0,0,1.005484332,0,0.996020655,0,0,224733.7217,0,222618.5149,1,1,0,0,1,0,0,0,373.63,373.63,0,0,1302.02,0,0,-813.19,3,223507.93,NEC_B4,A,0,223507.93,0,670523.79,0,0,0,0,UNK,1,B4_Selector_3679,0,0,0,0,1,0,0,0
3680,FHA,1/14/2022,60 Days Delinquent,119215.16,426,3,10/1/2021,TX,GNMA,2/1/2022,120,1192.1516,119208.4423,120400.5939,0.999943651,0.979163503,0,0.996417547,0,0,116731.1337,0,118788.0774,0,0,1,1,0,0,1,0,0,0,502.68,502.68,-1974.62,0,82.32,0,0,0,3,0,NEC_B1,A,0,119215.16,0,357645.48,0,0,0,0,UNK,1,B2_Selector_3680,0,1,0,0,0,0,0,0
3681,FHA,1/14/2022,60 Days Delinquent,221558.4,407,3,10/1/2021,FL,GNMA,2/1/2022,120,2584.848,222666.9255,225251.7735,1.005003311,0.979634894,0,1.001609466,0,1.004011562,217046.3396,0,221914.9908,0,222447.1952,1,1,0,0,1,0,0,1,2359.05,2359.05,-3261.53,0,1607.12,0,0,2139.32,3,0,NEC_B1,A,0,221558.4,0,664675.2,0,0,0,0,UNK,1,B2_Selector_3681,0,1,0,0,0,0,0,0
3682,USDA,1/14/2022,90 Days Delinquent,58205.71,407,4,9/1/2021,LA,GNMA,2/1/2022,150,727.571375,57794.46971,58522.04108,0.992934709,0.972852709,0,0.998530945,0,0,56625.58267,0,58120.20258,0,0,0,0,0,0,0,0,0,0,-476.28,0,-1645.17,0,-150.55,0,0,0,0,58205.71,NONE,A,0,58205.71,0,232822.84,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3683,VA,1/14/2022,120 Days Delinquent,163896.71,406,13,12/1/2020,TX,GNMA,2/1/2022,420,5736.38485,163677.2907,169413.6755,0.998661234,0.991602248,0,0.987483248,0,0,162520.346,0,161845.2555,0,0,0,0,0,0,0,0,0,0,-452.5,-452.5,-1609.45,0,-2284.54,0,0,0,0,163896.71,NONE,D,163896.71,0,0,2130657.23,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3684,VA,1/14/2022,120 Days Delinquent,142970.66,406,21,4/1/2020,SC,GNMA,2/1/2022,660,7863.3863,141908.0537,149771.44,0.992567662,0.970376709,0,0.991815577,0,0,138735.3986,0,141800.5276,0,0,0,0,0,0,0,0,0,0,-1286.34,0,-4458.99,0,-1393.86,0,0,0,0,142970.66,NONE,D,142970.66,0,0,3002383.86,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3685,USDA,1/14/2022,90 Days Delinquent,127280.95,407,4,9/1/2021,SC,GNMA,2/1/2022,150,1591.011875,126750.2977,128341.3096,0.995830858,0.982984529,0,1.000080057,0,0,125115.2047,0,127291.1398,0,0,0,0,0,0,0,0,0,0,-881.75,0,-2516.85,0,-340.91,0,0,0,0,127280.95,NONE,A,0,127280.95,0,509123.8,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
3686,VA,1/14/2022,60 Days Delinquent,183489.82,407,3,10/1/2021,NY,GNMA,2/1/2022,120,2140.714567,182395.5641,184536.2787,0.994036422,0.987600043,0,1.001900563,0,1.003283454,181214.5541,0,183838.554,0,184092.3003,0,0,0,0,1,0,0,1,-532.83,-532.83,-1713.84,0,910.16,0,0,1163.91,1,183489.82,NEC_B5,A,0,183489.82,0,550469.46,0,0,0,0,UNK,1,B5_Selector_3686,0,0,0,0,0,0,0,1
3687,FHA,1/14/2022,60 Days Delinquent,140426.91,407,3,10/1/2021,TX,GNMA,2/1/2022,120,1404.2691,140615.3339,142019.603,1.001341793,0.982438648,0,0.997513239,0,0,137960.8236,0,140077.7018,0,0,1,1,0,0,1,0,0,0,592.74,592.74,-2061.77,0,55.11,0,0,0,3,0,NEC_B1,A,0,140426.91,0,421280.73,0,0,0,0,UNK,1,B2_Selector_3687,0,1,0,0,0,0,0,0
3688,USDA,1/14/2022,Foreclosure,218638.94,407,8,5/1/2021,MA,GNMA,2/1/2022,270,4919.37615,216805.7293,221725.1055,0.991615351,0,0,0.996531309,0,0,0,0,217880.549,0,0,0,0,0,0,0,0,0,0,-2710.99,0,0,0,-1636.17,0,0,0,0,218638.94,NONE,A,0,218638.94,0,1749111.52,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
